file	model	alpha	rate	ci_lower	ci_upper	n_variants
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0504404905855934	0.0448027506127345	0.0560782305584522	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0126101226463983	0.00973564929253362	0.0154845960002631	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00138193124892037	0.000424963668644532	0.0023388988291962	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0545862843323545	0.0487342480187466	0.0604383206459623	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.0100190015546727	0.00745345471525673	0.0125845483940886	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00138193124892037	0.000424963668644532	0.0023388988291962	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0547590257384695	0.0488982726853204	0.0606197787916186	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.00950077733632752	0.00700180794866228	0.0119997467239928	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0500950077733633	0.0444755863116543	0.0557144292350723	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.00967351874244256	0.00715215367591317	0.012194883808972	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00207289687338055	0.000901261287927944	0.00324453245883315	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0504404905855934	0.0448027506127345	0.0560782305584522	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.0103644843669027	0.00775553420284868	0.0129734345309568	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0495767835550181	0.0439849789372221	0.0551685881728142	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.0103644843669027	0.00775553420284868	0.0129734345309568	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00138193124892037	0.000424963668644532	0.0023388988291962	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.048885817930558	0.0433310992581457	0.0544405366029702	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.00811884608740715	0.0058071471676731	0.0104305450071412	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00138193124892037	0.000424963668644532	0.0023388988291962	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0464674382449473	0.0410449773853673	0.0518898991045273	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.00950077733632752	0.00700180794866228	0.0119997467239928	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0464674382449473	0.0410449773853673	0.0518898991045273	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.00950077733632752	0.00700180794866228	0.0119997467239928	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00155467265503541	0.000539743049833871	0.00256960226023695	5789
